bib,ID,5.5k,8.9k,Chip Time,Finish Time
10182,04677,0:28:29,0:22:03,1:05:49,1:06:07
10281,04678,0:28:44,0:21:47,1:05:49,1:06:15
10428,04679,0:29:06,0:21:46,1:05:50,1:06:44
10222,04680,0:29:18,0:22:37,1:05:51,1:06:02
10329,04681,0:29:21,0:21:06,1:05:55,1:06:35
13093,04682,0:28:40,0:22:56,1:05:56,1:06:07
10833,04683,0:27:47,0:22:43,1:05:56,1:06:30
10913,04684,0:29:37,0:21:47,1:05:58,1:06:21
13463,04685,0:29:40,0:21:46,1:05:59,1:08:33
10767,04686,0:28:22,0:23:22,1:06:00,1:06:31
13462,04687,0:29:01,0:21:51,1:06:01,1:06:31
10815,04688,0:29:50,0:20:44,1:06:04,1:06:31
10029,04689,0:28:29,0:23:01,1:06:05,1:06:14
13176,04690,0:30:09,0:20:18,1:06:12,1:06:37
10044,04691,0:27:18,0:24:47,1:06:13,1:06:24
10611,04692,0:30:40,0:22:52,1:06:16,1:06:16
10091,04693,0:28:17,0:23:21,1:06:16,1:06:42
10875,04694,0:30:17,0:21:21,1:06:17,1:09:53
13199,04695,0:28:44,0:22:44,1:06:17,1:06:28
10629,04696,0:29:06,0:22:07,1:06:20,1:06:46
10285,04697,0:29:05,0:22:34,1:06:21,1:06:28
13101,04698,0:29:00,0:22:51,1:06:21,1:06:26
10349,04699,0:28:39,0:22:36,1:06:25,1:07:07
10229,04700,0:28:38,0:24:47,1:06:25,1:06:43
13073,04701,0:29:23,0:21:32,1:06:25,1:06:38
10287,04702,0:29:04,0:21:39,1:06:25,1:06:58
10929,04703,0:28:19,0:23:25,1:06:26,1:06:36
10184,04704,0:28:54,0:23:06,1:06:27,1:06:41
13438,04705,0:29:22,0:21:32,1:06:27,1:06:38
10816,04706,0:28:58,0:21:54,1:06:28,1:06:55
10425,04707,0:27:49,0:23:26,1:06:29,1:06:53
13261,04708,0:28:50,0:22:50,1:06:30,1:06:34
10745,04709,0:29:42,0:22:25,1:06:32,1:06:48
10291,04710,0:30:09,0:21:54,1:06:34,1:07:04
10644,04711,0:28:45,0:23:12,1:06:41,1:06:52
10647,04712,0:28:52,0:23:04,1:06:42,1:06:52
10181,04713,0:29:00,0:23:52,1:06:45,1:07:28
10290,04714,0:30:32,0:21:36,1:06:46,1:06:52
13262,04715,0:29:14,0:21:26,1:06:47,1:07:25
13306,04716,,0:41:22,1:06:50,1:07:43
10519,04717,,0:41:21,1:06:53,1:07:46
10221,04718,0:28:12,0:24:10,1:06:53,1:07:21
10522,04719,,0:41:20,1:06:53,1:07:47
13433,04720,0:29:05,0:22:05,1:06:55,1:06:59
13036,04721,0:29:02,0:22:02,1:06:55,1:07:20
10021,04722,0:29:51,0:21:30,1:06:55,1:07:35
10209,04723,0:29:08,0:23:02,1:07:02,1:07:47
10177,04724,0:29:04,0:22:54,1:07:04,1:07:20
10564,04725,0:30:01,0:21:31,1:07:06,1:07:56
10825,04726,0:28:28,0:22:41,1:07:06,1:07:26
10048,04727,0:30:01,0:23:39,1:07:09,1:07:12
10662,04728,0:30:02,0:21:38,1:07:09,1:07:44
10524,04729,0:29:55,0:21:17,1:07:10,1:07:45
10185,04730,0:29:17,0:22:34,1:07:11,1:07:29
13453,04731,0:29:35,0:22:25,1:07:12,1:07:58
10736,04732,0:30:33,0:21:14,1:07:12,1:08:15
