Bib,ID,14.4k,25.8k,32.3k,37.9k,Chip Time,Finish Time
40370,00197,1:05:59,0:54:41,0:30:29,0:26:41,3:22:29,3:22:29
40239,00198,1:07:45,0:54:13,0:31:14,0:26:47,3:22:33,3:22:33
40580,00199,1:08:20,0:54:42,0:30:59,0:26:55,3:22:38,3:22:38
40897,00200,0:57:11,0:47:20,0:29:08,0:41:54,3:22:43,3:22:43
40285,00201,1:10:10,0:54:58,0:31:39,0:25:29,3:22:46,3:22:46
40087,00202,1:10:21,0:55:05,0:30:34,0:25:56,3:22:53,3:22:53
40206,00203,1:09:22,0:55:13,0:31:14,0:26:37,3:23:15,3:23:15
40279,00204,1:07:51,0:53:51,0:30:32,0:27:23,3:23:16,3:23:16
40198,00205,1:09:21,0:55:14,0:31:14,0:26:37,3:23:24,3:23:24
40308,00206,1:08:51,0:54:30,0:30:19,0:27:06,3:23:26,3:23:26
40643,00207,1:07:34,0:54:37,0:31:35,0:27:51,3:23:45,3:23:45
43021,00208,1:07:38,0:54:37,0:31:35,0:27:52,3:23:46,3:23:46
40196,00209,1:06:04,0:54:08,0:31:23,0:29:07,3:23:58,3:23:58
40126,00210,1:05:55,0:54:08,0:31:23,0:29:07,3:24:02,3:24:02
43087,00211,1:09:45,0:54:24,0:30:44,0:27:03,3:24:13,3:24:13
40299,00212,1:10:04,0:55:12,0:31:07,0:26:16,3:24:16,3:24:16
40129,00213,1:06:41,0:54:50,0:31:16,0:27:55,3:24:19,3:24:19
40061,00214,1:09:19,0:55:40,0:30:53,0:26:52,3:24:21,3:24:21
43042,00215,1:09:29,0:55:43,0:30:51,0:26:52,3:24:21,3:24:21
40747,00216,1:09:26,0:55:30,0:31:13,0:26:51,3:24:23,3:24:23
40546,00217,1:06:37,0:53:24,0:30:01,0:26:23,3:24:32,3:24:32
40434,00218,1:09:21,0:55:04,0:31:14,0:26:37,3:24:44,3:24:44
41096,00219,1:09:52,0:54:47,0:30:29,0:27:28,3:24:47,3:24:47
40332,00220,1:09:30,0:55:47,0:31:17,0:26:44,3:24:47,3:24:47
40164,00221,1:07:31,0:52:41,0:31:04,0:28:16,3:24:52,3:24:52
40392,00222,1:11:13,0:55:26,0:30:16,0:26:12,3:24:52,3:24:52
40554,00223,1:07:29,0:52:41,0:31:12,0:28:15,3:24:54,3:24:54
40309,00224,1:09:00,0:55:25,0:31:15,0:26:58,3:24:56,3:24:56
41175,00225,1:09:45,0:55:10,0:31:20,0:26:28,3:24:59,3:24:59
40173,00226,1:09:41,0:55:48,0:31:35,0:26:44,3:25:00,3:25:00
40116,00227,1:08:47,0:54:30,0:29:56,0:26:59,3:25:09,3:25:09
40086,00228,1:09:08,0:54:53,0:31:10,0:27:32,3:25:27,3:25:27
40066,00229,1:09:09,0:54:52,0:31:09,0:27:33,3:25:28,3:25:28
40614,00230,1:09:29,0:56:05,0:31:03,0:26:51,3:25:30,3:25:30
43023,00231,1:09:03,0:55:17,0:31:16,0:27:11,3:25:33,3:25:33
43017,00232,1:09:34,0:56:04,0:31:05,0:26:50,3:25:35,3:25:35
40081,00233,1:09:31,0:55:50,0:31:43,0:27:20,3:25:48,3:25:48
40916,00234,1:07:42,0:54:50,0:32:05,0:27:53,3:25:49,3:25:49
